,0
77,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is."
78,"As a patron, I want to create a personal account to request email notification when new version of report/dataset is available."
79,"As a patron, I want to download report/dataset release calendar to load into own calendar."
80,"As a librarydiscoveryoperator, I want to harvest useful metadata from the repository via OAI, and continue to do so incrementally, so that I can make Cornell publications discoverable in my repository."
81,"As a library staff member, I want to quickly correct errors in uploaded metadata, and even uploaded documents, while leaving a record of my revisions (and possibly the reasons behind them), so that I can present correct versions of content and to locate points of error."
82,"As a library staff member, I want to receive a quick response and a reasonable resolution to tech support issues, so that service can proceed with minimal interruption."
83,"As a Cornell faculty member, I want to share on the repository files that are larger than 1GB in a way that still allows users to download them if I want to use them, so that I can meet funder requirements."
84,"As a DB/IR administrator, I want to login to personal account with access to authorized functions."
85,"As a DB/IR administrator, I want to have a personal account with the ability to change passwords to make them more secure or to retrieve forgotten ones."
86,"As a DB/IR administrator, I want to set up or delete accounts for other administrators with various levels of permission."
87,"As a DB/IR administrator, I want to see a list of all administrators for ease of administering accounts."
88,"As a DB/IR administrator, I want to have robust searching and tracking features for existing and newly created patron accounts."
89,"As a DB/IR administrator, I want to unpublish a report/dataset if requested to do so by USDA agency."
90,"As a DB/IR administrator, I want to add future release dates of reports/datasets to calendar for patron FYI."
91,"As a faculty member, I want to recommend a digital collection be built in the repository, so that I can assist in my research."
92,"As a DB/IR administrator, I want to search for administrator accounts using full/partial email or name."
93,"As a DB/IR administrator, I want to administrate patron accounts for purpose of closing accounts, viewing subscriptions, changing subscriptions, resetting passwords, changing email address, etc."
94,"As a library staff member, I want to create custom metadata fields for certain collections, and allow searching of those fields, so that I can best reflect and deliver diverse content."
95,"As a repository support team member, I want to move a collection, so that I can fulfill the collection owner's request."
96,"As a repository support team member, I want to rename a collection, so that I can fulfill the collection owner's request."
97,"As an asset manager, I want to be assured that the digital copy I deposit is stored redundantly, so that when one copy suffers destruction or unwanted changes, I still have other good copies to restore from."
98,"As an asset manager, I want to be assured that threats to copies in one repository are not automatically incurred by the redundant copies."
99,"As an asset manager, I want to be assured that the redundant copies are continuously monitored for unwanted changes, and that if/when changes do occur, there is a mechanism by which I can determine the original object and restore it to all copies."
100,"As an asset manager, I want to be assured that the assets can be taken out of the repository, and that the assets taken out are the same as those that are put in."
101,"As an asset manager, I want to know what the intellectual value of the asset is to the institution at the time of deposit, so that I obtain guidance in the evaluation of it for current value for the institution."
102,"As an asset manager, I want to have a mechanism to obtain a listing or understanding of all the assets that have been deposited, and their current status."
103,"As an asset manager, I want to be assured that funding and staffing of the IR have a commitment to longevity of the repository through published plans and/or explicit contract clauses."
104,"As a stakeholder, I want to have files adequately described, so that I can successfully render them in my contemporary operating environment."
105,"As a library staff member, I want to preserve both the content and the metadata within the repository in a robust manner, so that I can provide stable, long-term access to this material."
106,"As a data curator, I want to upload a new version of an item that has changed, while still allowing old versions to be accessed."
107,"As a library staff member, I want to preserve the scholarship of the law school by using sustainable links that will not succumb to link rot, so that I can create a permanent digital archive for the scholarship of my institution."
108,"As a library staff member, I want to create a collection, sometimes with custom metadata fields, so that I can house digital material for wider distribution."
109,"As a library staff member, I want to trace the list of revisors to determine who uploaded an item to the repository, so that I can confirm that proper procedures were followed."
110,"As an asset manager, I want to be assured that there is a formal plan for the disposition of assets if the IR should cease."
111,"As an asset manager, I want to have mechanism to pass ownership/management of the assets to a successor."
112,"As a patron, I want to email system provider to report issues and ask questions."
113,"As a data curator, I want to have a mechanism to allow for records scheduling for items that do not need to be stored indefinitely."
114,"As a data curator, I want to upload a new version of an item that has changed, while still allowing old versions to be accessed."
115,"ï»¿As a camp administrator, I want to be able to add campers, so that I can keep track of each individual camper."
116,"As a camp administrator, I want to be able to remove campers if they don't attend the camp anymore, so that I can keep the records organized."
117,"As a camp administrator, I want to be able to keep camper records from previous years, so that the amount of work I need to do is lowered. "
118,"As a camp administrator, I want to be able to upload consent forms, so that campers or their parents can easily access the forms."
119,"As a camp administrator, I want to be able to keep track of which camper submitted which forms, so that legal issues are avoided."
120,"As a camp administrator, I want to be able to schedule activities for campers, so that camp workers can easily keep track of who is where at all times."
121,"As a camp administrator, I want to be able to automatically create nametags for campers, so that I can lower the amount of work I need to do."
122,"As a camp administrator, I want to be able to suspend a camper who had behavioral problems."
123,"As a camp administrator, I want to be able to set a reminders related to specific tasks that has to be done."
124,"As a camp administrator, I want to be able to assign different positions to the staff members, so that it is possible to organize activities in terms of responsibilities."
125,"As a camp administrator, I want to be able to warn a camp worker who I think did his/her job inappropriate."
126,"As a camp administrator, I want to be able to create, modify rules that campers and camp workers has to follow."
127,"As a camp administrator, I want to keep track of the usage of internal camp facilities, so that I don't create conflicting schedules for the different camp groups."
128,"As a camp administrator, I want to create an avenue so parents can submit feedback and general concerns, so that I can keep improving the services I provide."
129,"As a camp administrator, I want to store campers' emergency information in a database, so that I can easily notify the necessary parties in case of an emergency."
130,"As a camp administrator, I want to store camper's immediate parent/guardian's information, so that I can easily call to notify them in case a grossly unacceptable behavior."
131,"As a camp administrator, I want to provide bi-weekly feedback to camper's parents, so that they can be aware of their child's behavior and performance at camp."
132,"As a camp administrator, I want to be able to make nametags faster, so that I don't have to spend two hours making 200+ nametags"
133,"As a camp administrator, I want to be able to create a registration form for both staff and kids, so that I can keep organized."
134,"As a camp administrator, I want to be able to keep my information in one place, so that the admins next year can improve on the previous years."
135,"As a camp administrator, I want to be able to see medical forms, so that we can be prepared for an allergy attack"
136,"As a camp administrator, I want to be able to notify parents all at once, so that they can be notified of any upcoming events."
137,"As a camp administrator, I want to be quickly log attendance everyday, so that I can track which kids are coming in."
138,"As a camp administrator, I want to be able to add parents, so that they can enroll their kids at camp."
139,"As a camp administrator, I want to be able to create groups and add campers to the groups, so that I can easily organize the campers."
140,"As a camp administrator, I want to be able to see all my camp groups and the events scheduled for each camp group, so that I can notify counselor of what their group will be doing for the day."
141,"As a camp administrator, I want to be able to schedule tasks/activities for a specific camp group, so that I can track each groups daily/weekly and monthly activities."
142,"As a camp administrator, I want to be able to delete tasks/activities I scheduled, so that I can keep the schedule clean of unneeded activities."
143,"As a camp administrator, I want to be able to modify tasks/events I scheduled in case there is a change, so that I can always keep the schedule up to date."
144,"As a camp administrator, I want to be able to modify the information of enrolled campers, so that I can keep the campers information up to date."
145,"As a camp administrator, I want to be able to delete campers from the database, so that I can keep my pages free of clutter."
146,"As a camp administrator, I want to be able to modify the information of added parents, so that I can keep parent's information up to date."
147,"As a camp administrator, I want to be able to delete parents from the database, so that I can keep my pages free of unneeded clutter."
148,"As a camp administrator, I want to be able to modify a group's information, so that I can keep the groups up to date."
149,"As a camp administrator, I want to be able to see only events for a specific group/groups on the event calendar, so that I can easily read the data on the calendar without too much clutter."
150,"As a parent, I want to be able to see which consent forms I have submitted, so that I can know what I still need to do."
151,"As a parent, I want to be able to track my child's activity and schedule at camp, so that I can have peace of mind."
152,"As a parent, I want to be able to submit various type of forms to the camp management."
153,"As a parent, I want to be able to create an account, so that I can sign up my kids for camp online."
154,"As a parent, I want to see which counselors are assigned to my kids, so that I can have peace of mind."
155,"As a parent, I want to be able to message my child's counselors, so that I can voice my concerns or check on my child's progress."
156,"As a parent, I want to be able to sign and submit consent forms online, so that I don't have to deal with my child losing a consent form."
157,"As a parent, I want to be able to see if I made all the necessary payments."
158,"As a parent, I want to be able to share any photos the camp has taken of my child."
159,"As a parent, I want to be able to connect with the staff in case of an emergency."
160,"As a parent, I want to be able to enroll my children, so that they can be admitted to camp."
161,"As a parent, I want to be able to see and edit my enrolled children to the camp year, so that I can know who I already enrolled to camp, who is still pending admission etc."
162,"As a parent, I want to be able to see a schedule of the activities my children are involved in at camp, so that I can be more informed as to what they are doing at camp."
163,"As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly."
164,"As a camp worker, I would be able to submit a completion report for the tasks which was assigned to me."
165,"As a camp worker, I'm able to report a camper to the manager with an inappropriate behavior."
166,"As a camp worker, I'm able to report a list of supplies to the manager that the camp is short of."
167,"As a camp worker, I'm able to report necessary repairs to the manager that the camp is needed of."
168,"As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly."
169,"As a camp counselor, I want to be able to take attendance of my assigned kids, so that I can make ensure everybody is accounted for."
170,"As a user, I want to search and discover music using content identification or fingerprinting.	"
171,"As a user, I want to search and discover music based on my profile.	"
172,"As a user, I want to search and discover music based on other users similar to myself.	"
173,"As a user, I want to search and discover music or ringback tones similar to a given music video based on content similarity.	"
174,"As a user, I want to search and discover music by exploiting enriched metadata and image tags, so that I find related artists, new genre, or other relevant listening path."
175,"As a user, I want to upload tagged videos and have tags available for all further processing steps.	"
176,"As a user, I want to view thumbnail sequences of video segments.	"
177,"As a user, I want to get info about similar video items and segments.	"
178,"As a user, I want to get info about perceptually similar video items and segments.	"
179,"As a user, I want to receive content recommendations from similar profiles."
180,"As a user, I want to receive content recommendations based on most relevant news events in my area.	"
181,"As a user, I want to identify persons in videos, and receive related information about them.	"
182,"As a user, I want to identify products in videos, and receive related information about them.	"
183,"As a user, I want to identify broadcaster logos in videos, and receive related information about them.	"
184,"As a user, I want to identify brands in videos, and receive related information about them.	"
185,"As a user, I want to take a picture or upload an image, so that I am recommended with videos related to that picture or image.	"
186,"As a user, I want to walk around, access content using a geographical map and be informed if there are videos covering the area, monuments or any other relevant point of interest.	"
187,"As a user, I want to search content items using automatic speech recognition.	"
188,"As an admin, I want to see, validate and edit segmentation of videos.	"
189,"As an admin, I want to annotate news video segments and extract a topic for each segment.	"
190,"As an admin, I want to filter and rank videos based on A/V quality aspects.	"
191,"As an admin, I want to get a quick assessment of whether audio material has been edited before the upload.	"
192,"As an admin, I want to prefilter nudity content.	"
193,"As an admin, I want to prefilter content using search based on low­level asset information.	"
194,"As an admin, I want to automatically validated the ingested contents for copyright infringement.	"
195,"As an admin, I want to prefilter the content using search on high­level asset information such as metadata and tags either recognized by the system of provided by the user.	"
196,"As a Zooniverse admin, I want to assess how interesting or appealing or complex a picture is based on automated analysis, citizen annotations, and comments on Talk.	"
197,"As a Zooniverse admin, I want to detect when a scientist should be prompted to look at a subject, based on annotations and information from Talk comments.	"
198,"As a Zooniverse admin, I want to identify volunteer types."
199,"As a Zooniverse admin, I want to preclassify the Galaxy Zoo images using simple low­level image features.	"
200,"As a Zooniverse admin, I want to automatically detect Snapshot Serengeti images with no classifiable animals in them."
201,"As a Zooniverse admin, I want to perform automatic image series detection for the case of timestamping malfunction in Snapshot Serengeti images.	"
202,"As a Zooniverse admin, I want to perform automatic animal species preclassification in Snapshot Serengeti.	"
203,"As a Zooniverse admin, I want to perform automatic animal attribute preclassification in Snapshot Serengeti.	"
204,"As a Zooniverse admin, I want to perform automatic animal number detection in Snapshot Serengeti.	"
205,"As a Zooniverse admin, I want to perform automatic segmentation or localization of plankton in Plankton Portal.	"
206,"As a Zooniverse admin, I want to automatically detect Plankton Portal images with no classifiable plankton in them.	"
207,"As a Zooniverse admin, I want to perform automatic detection of plankton size or orientation in Plankton Portal images.	"
208,"As a Zooniverse admin, I want to perform automatic preclassification of plankton species in Plankton Portal images.	"
209,"As a Zooniverse admin, I want to perform automatic worm motion analysis to reduce video duration in Worm Watch Lab.	"
210,"As a Zooniverse admin, I want to automatically detect the time in a Worm Watch Lab video where the worm lays an egg.	"
211,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.	"
212,"As a Zooniverse admin, I want to assess the probability/weight of a volunteer’s classification based on their experience.	"
213,"As a Zooniverse admin, I want to perform prefiltering of the images to remove artefacts such as bright stars and camera read errors.	"
214,"As a Zooniverse admin, I want to detect moving and transient objects in the images.	"
215,"As a Zooniverse admin, I want to remove background noise and distracting sounds from the audio files.	"
216,"As a Zooniverse admin, I want to group whale calls that are similar.	"
217,"As a Zooniverse admin, I want to identify the number of whales heard in a single audio file.	"
218,"As a Zooniverse admin, I want to know when I should interrupt a volunteer.	"
219,"As a Zooniverse admin, I want to know whether I should interrupt a volunteer with text, an image, or a video.	"
220,"As a Zooniverse admin, I want to know when I should educate a volunteer.	"
221,"As a Zooniverse admin, I want to know whether I should educate a volunteer with text, an image, or a video.	"
222,"As a Zooniverse admin,I want to know which piece of education I should give to a volunteer.	"
223,"As a Zooniverse admin, I want to know when a volunteer has made an interesting comment on a subject.	"
224,"As a Zooniverse admin, I want to know when Zoonibot should comment on a subject."
225,"As a Zooniverse admin, I want to know when Zoonibot should give an explanation.	"
226,"As a Zooniverse admin, I want to know what Zoonibot should say to a volunteer.	"
227,"As a Zooniverse admin, I want to group subjects by similarity.	"
228,"As a Zooniverse admin, I want to recommend different projects to volunteers based on their previous experiences.	"
229,"As an admin, I want to see a summary of articles, so that I reuse them.	"
230,"As a depositor, I want to deposit and maintain datasets through a simple web interface, so that I don't need to install and learn new software to deposit."
231,"As a depositor, I want to have a user interface that is familiar to me, so that I feel like all the University systems are joined up."
232,"As a depositor, I want to deposit and maintain datasets through Pure, so that I have a single onestop shop for managing my research outputs."
233,"As a depositor, I want to deposit and maintain datasets through Virtual Research Environments and other workflow tools, so that I can continue to work with tools with which I'm familiar."
234,"As a depositor, I want to deposit the files that I have, so that I don't have to spend a lot of time finding the right version and converting to the right format."
235,"As a depositor, I want to place data under an embargo, so that my right of first use is protected, and I can fulfil my confidentiality responsibilities."
236,"As a depositor, I want to apply licenses to datasets, so that my IP rights are protected appropriately."
237,"As a depositor, I want to allow my collaborators privileged access to datasets, so that we continue to have a productive relationship."
238,"As a depositor, I want to deposit arbitrarily large files, so that I am not limited in what files I can and cannot deposit."
239,"As a depositor, I want to link datasets to publications in Opus, so that both my data and publications are more easily discovered."
240,"As a depositor, I want to mint DOIs for my data, so that it can be discovered and cited more easily and citations can be tracked so that I can receive credit."
241,"As a depositor, I want to have metadata automatically filled from other University systems and remembered from previous deposits, so that I don't have to waste time reentering the same information."
242,"As a depositor, I want to link to data stored in external repositories, so that I can store my data in an appropriate repository but still register it with the University and I don't have to deposit my data in multiple places."
243,"As a depositor, I want to specify a disposal policy for my data, so that I do not accidentally breach laws or collaboration agreements."
244,"As a depositor, I want to track downloads of my data, so that I can demonstrate the impact of my work."
245,"As a depositor, I want to track citations of my data, so that I can demonstrate the impact of my work"
246,"As a depositor, I want to have guarantees about data integrity, so that I can use my data in the future and I can fulfil funder requirements for archival."
247,"As a depositor, I want to attach subject specific discoverability metadata to records, so that researchers in my discipline can find my data more easily."
248,"As a depositor, I want to link datasets with the project DMP, so that compliance with DMP can be demonstrated and whole project workflow is linked together."
249,"As a depositor, I want to manage and share “live” research data, so that whole project workflow is linked together."
250,"As a depositor, I want to manage multiple versions of the same dataset, so that changes to the dataset are transparent and do not compromise research integrity."
251,"As a depositor, I want to allow others to deposit on my behalf, so that I can delegate research data management tasks appropriately."
252,"As a data reuser, I want to search the archive through the web, so that I can easily find data relevant to my needs."
253,"As a data reuser, I want to access the system in my native language, so that I am not put off reusing University of Bath data by language barriers."
254,"As a data reuser, I want to examine and identify deposited files, so that I can make a preliminary assessment of usefulness without downloading the whole dataset."
255,"As a data reuser, I want to view an example citation for a dataset, so that I can reference it correctly."
256,"As a data reuser, I want to view a DOI for a dataset, so that I can get back to the data in future and I can import the dataset into my referencemanagement software automatically."
257,"As a data reuser, I want to get a persistent URL for a dataset, so that I can get back to the data in future."
258,"As a data reuser, I want to search the archive through Primo , so that I can search books, articles and data all in one place."
259,"As a data reuser, I want to see different versions of a dataset at a glance, so that I can be sure I'm using the right version of the dataset."
260,"As an externalcollaborator, I want to gain privileged access to data for projects in which I am involved, so that I can collaborate effectively."
261,"As an externalcoordinator, I want to have guarantees that my IP rights will not be breached, so that the risk of collaborating with Bath is acceptable to me."
262,"AS an externalcoordinator, I want to access data from Bath collaborators off campus, so that I can collaborate effectively."
263,"As a research facility manager, I want to deposit data from my facility directly into the archive on behalf of researchers, so that I am no longer required to maintain my own archive of facility data and researchers can access their own data as needed. "
264,"As a Bath Data Archive administrator, I want to make some checks on deposited datasets before they are made public, so that consistent quality of metadata is maintained, compliance with policies can be checked and details of licensing can be checked."
265,"As a Bath Data Archive administrator, I want to require a minimum set of metadata, so that consistent quality of metadata is maintained."
266,"As a Bath Data Archive administrator, I want to approve scheduled disposal of data, so that data which is still required is not destroyed."
267,"As a Bath Data Archive administrator, I want to query the entire archive , so that I can report on particular aspects of the archive holdings."
268,"As a Bath Data Archive administrator, I want to import Bath data from an external data centre wholesale, so that Bath data holdings in external archives are not lost if they close down."
269,"As a Bath Data Archive administrator, I want to encourage and promote the use of open standards for deposit, so that data is as reusable as possible."
270,"As a Research Information manager, I want to integrate the archive with CRIS, so that I can analyse impact of research data publication I can link funding to all of the outputs it produces."
271,"As a Research Information manager, I want to include records for externally held data complete, so that the university's record of data holdings is complete."
272,"As a Research Information manager, I want to track citation counts for published datasets, so that impact of datasets within academia can be demonstrated."
273,"As a Research Information manager, I want to segment the view and download statistics by country and sector so that impact of datasets outside academia can be demonstrated."
274,"As a Research Information manager, I want to have datasets linked to metadata about projects, so that I can report on projects depositing datasets in relation to funder requirements."
275,"As an UnivITservice, I want to store archived data on existing storage systems, so that university data storage is consistent and maintainable and future availability of data can be guaranteed."
276,"As an UnivITservice, I want to integrate the archive with existing university systems such as LDAP, so that the cost of administering the system can be kept low."
277,"As an UnivITservice, I want to store archived data directly on the HCP object store, so that  features can be made."
278,"As an UnivITservice, I want to be able to export all data to a different system, so that I am not tied into one system which may not be the most appropriate at some point in the future."
279,"As a developer, I want to deposit and maintain datasets via an API such as SWORD2, so that my service can interact with the archive. "
280,"As an academicpublisher, I want to make persistent web links between my articles and underlying datasets, so that my journals can be seen to be filled with robust, high quality research. "
281,"As a fundingbody, I want to be reassured that researchers I fund have robust archival plans for their data, so that I can be sure that funding them is a worthwhile investment."
282,"As a fundingbody, I want to harvest metadata on outputs from research I fund, so that I can analyse effectiveness of funding strategy and I can encourage cross fertilisation of research outputs."
283,"As an app developer, I want to include the code of a dataset type in my app artifact and create a dataset of that type when deploying the app."
284,"As an app developer, I want to deploy a new version of a dataset type as part of deploying a new version of the app that includes it and I expect that all dataset instances of that type that were created as part of the app deployment start using the new code."
285,"As an app developer, I want to deploy a new version of a dataset type as part of an app artifact, without affecting other datasets of this type."
286,"As an app developer, I want to explore a dataset instance of a type that was deployed as part of an app."
287,"As an app developer, I want to ensure that when I deploy an artifact without creating an app this will not create any dataset types or instances."
288,"As an app developer, I want to share a dataset type across multiple applications that include the dataset type's code in their artifacts."
289,"As an app developer, I want to ensure that when I deploy a new version of an app that includes a shared dataset type that all dataset instances created by this app start using the new code but all dataset instances created by other apps remain unchanged."
290,"As an app developer, I want to ensure that when I deploy a new version of an app that includes an older version of a dataset type deployed by another app and I expect that the dataset instances created by this app use the dataset type code included in this app."
291,"As an app developer, I want to ensure that when I deploy a new version of an app that includes a different version of a dataset type deployed by another app and this app shares a dataset instance of this type with the other app the deployment will fail with a version conflict error. "
292,"As an app developer, I want to share a dataset type that I had previously deployed as part of an app."
293,"As a dataset developer, I want to deploy a dataset type independent from any app and allow apps to create and use dataset instances of that type."
294,"As a dataset developer, I want to have the option of forcing applications to have the dataset code injected at runtime."
295,"As a dataset developer, I want to have an archetype that helps me package my dataset type properly."
296,"As a dataset developer, I want to separate the interface from the implementation of a dataset type."
297,"As an app developer, I want to only depend on the interface of a dataset type in my app and have the system inject the implementation at runtime."
298,"As an app developer, I want to write unit tests for an app that depends on the interface of a dataset type."
